period,state,handgun,long_gun,multiple,year,month
2016-12,Michigan,16367,15761,490,2016,12
2016-12,Minnesota,13674,14136,852,2016,12
2016-12,Mississippi,14485,18954,1058,2016,12
2016-12,Missouri,32747,29714,2468,2016,12
2016-12,Montana,4204,6415,440,2016,12
2016-12,Nebraska,295,4067,12,2016,12
2016-12,Nevada,7461,5166,822,2016,12
2016-12,New Hampshire,7288,4648,2,2016,12
2016-12,New Jersey,5933,5477,0,2016,12
2016-12,New Mexico,8232,7864,662,2016,12
2016-12,New York,13281,24844,496,2016,12
2016-12,North Carolina,2379,30825,570,2016,12
2016-12,North Dakota,1979,3220,162,2016,12
2016-12,Ohio,45096,32605,3062,2016,12
2016-12,Oklahoma,19789,21360,2120,2016,12
2016-12,Oregon,20824,17611,0,2016,12
2016-12,Pennsylvania,70642,20557,0,2016,12
2016-12,Rhode Island,1411,1048,420,2016,12
2016-12,South Carolina,17160,16260,850,2016,12
2016-12,South Dakota,3878,5644,440,2016,12
2016-12,Tennessee,40609,34097,0,2016,12
2016-12,Texas,76079,76199,6416,2016,12
2016-12,Utah,7071,10183,0,2016,12
2016-12,Vermont,1982,2198,148,2016,12
2016-12,Virginia,35829,30381,0,2016,12
2016-12,Washington,24019,18132,1412,2016,12
2016-12,West Virginia,11956,12791,1086,2016,12
2016-12,Wisconsin,18173,16540,74,2016,12
2016-12,Wyoming,2794,3282,238,2016,12
2016-11,Alabama,11235,14817,1198,2016,11
2016-11,Alaska,3736,4421,498,2016,11
2016-11,Arizona,16335,13193,1658,2016,11
2016-11,Arkansas,7949,13053,898,2016,11
2016-11,California,62625,90809,0,2016,11
2016-11,Colorado,26457,21773,3106,2016,11
2016-11,Connecticut,7769,3584,0,2016,11
2016-11,Delaware,2739,3026,212,2016,11
2016-11,Florida,68586,39290,5402,2016,11
2016-11,Georgia,19812,18435,1606,2016,11
2016-11,Hawaii,0,0,0,2016,11
2016-11,Idaho,5182,6793,464,2016,11
2016-11,Illinois,31309,20906,2412,2016,11
2016-11,Indiana,27771,25670,1824,2016,11
2016-11,Iowa,439,5623,26,2016,11
2016-11,Kansas,8950,10839,986,2016,11
2016-11,Kentucky,14132,16328,1280,2016,11
2016-11,Louisiana,16141,20184,1700,2016,11
2016-11,Maine,4548,5607,392,2016,11
2016-11,Maryland,5892,10460,76,2016,11
2016-11,Massachusetts,7829,5261,394,2016,11
2016-11,Michigan,17383,20065,666,2016,11
2016-11,Minnesota,13572,17157,888,2016,11
2016-11,Mississippi,10320,14829,1056,2016,11
2016-11,Missouri,26091,28972,2594,2016,11
2016-11,Montana,3402,6101,462,2016,11
2016-11,Nebraska,238,4057,24,2016,11
2016-11,Nevada,6972,4720,872,2016,11
2016-11,New Hampshire,6911,5304,8,2016,11
2016-11,New Jersey,5938,6292,0,2016,11
2016-11,New Mexico,6768,6637,712,2016,11
2016-11,New York,12273,27752,496,2016,11
2016-11,North Carolina,1880,25537,524,2016,11
2016-11,North Dakota,2010,3901,196,2016,11
2016-11,Ohio,41034,35543,3388,2016,11
2016-11,Oklahoma,17983,18721,2176,2016,11
2016-11,Oregon,18714,17282,0,2016,11
2016-11,Pennsylvania,72807,22536,0,2016,11
2016-11,Rhode Island,1398,1172,402,2016,11
2016-11,South Carolina,14123,12702,1116,2016,11
2016-11,South Dakota,3802,6245,418,2016,11
2016-11,Tennessee,32452,28574,0,2016,11
2016-11,Texas,64656,61663,7520,2016,11
2016-11,Utah,5755,7723,0,2016,11
2016-11,Vermont,1476,2172,146,2016,11
2016-11,Virginia,32498,29505,0,2016,11
2016-11,Washington,21487,17893,1616,2016,11
2016-11,West Virginia,8606,12247,930,2016,11
2016-11,Wisconsin,19338,21594,68,2016,11
2016-11,Wyoming,2307,2960,250,2016,11
2016-10,Alabama,8533,9752,858,2016,10
2016-10,Alaska,4297,4344,548,2016,10
2016-10,Arizona,13646,10320,1362,2016,10
2016-10,Arkansas,6168,9058,746,2016,10
2016-10,California,50364,59766,0,2016,10
2016-10,Colorado,22377,18658,2658,2016,10
2016-10,Connecticut,7011,2968,0,2016,10
2016-10,Delaware,2277,2290,214,2016,10
